__v,_id,customer_id,customer_value,recommended_fit,improvement,improvement_theme,improvement_level_2,product_fit_comment,customer_role,product_fit,time
0,6057a91c03f6dc37e4afbe76,,"['Free and open source', 'Security', 'Investment strategies', 'Ease of use']",none,Compare PnL with buying and holding on the main webpage,New Feature,Better Trading Experience,none,Trading is my side hustle,Somewhat Disappointed,3/21/2021
1,6057a92903f6dc37e4afbe77,,"['Free and open source', 'Investment strategies', 'Ease of use', 'Security']",none,none,others,others,none,Trading is my side hustle,Somewhat Disappointed,3/21/2021
2,6057aa7103f6dc37e4afbe78,,"['Free and open source', 'Investment strategies', 'Security', 'Ease of use']",People who are committed to open source code and love to cooperate,"a very good question.  Of course, by giving strategy training.  Because we can cause someone among us to create great strategies.",Training & Support,Provide training resources,because thanks to bva i learned a lot and i am very happy about it,Trading is my side hustle,Somewhat Disappointed,3/21/2021
3,6057ab1603f6dc37e4afbe79,,"['Security', 'Free and open source', 'Ease of use', 'Investment strategies']","newbies, busy people",I'd love to see the algo for BvA long only :),New Feature,Develop Better Algorithms and Strategy Development,none,Trading is my side hustle,Somewhat Disappointed,3/21/2021
4,6057abb703f6dc37e4afbe7a,9332174,"['Free and open source', 'Investment strategies', 'Ease of use', 'Security']","Open source dev community. For me BvA is like ""trade for devs"" lol. Even being simple to use, having some dev skills makes it a lot better","We can work on the hub to improve it, adding % of equity as amount to trade, improve the UI and things like that, but in general it's perfect for me. We need to keep working on strategies too, I'm working on it right now and pretend to start sending some signals in the next days",UI/UX,Better Trading Experience,"I don't have good trade skills, I am a developer and data scientist. Helping BvA with code and strategies using ML is my alternative to trade using the skills I have.",Trading is my side hustle,Very Disappointed,3/21/2021
5,6057abf903f6dc37e4afbe7b,,"['Investment strategies', 'Free and open source', 'Security', 'Ease of use']",none,"Allow users to remove dead trades from the website.
Allow the option to add descriptions to strategies.",New Feature,Better Trading Experience,"I love this project, and its open source nature.",I am just starting to explore coin trading,Very Disappointed,3/21/2021
6,6057affd03f6dc37e4afbe7c,,"['Investment strategies', 'Free and open source', 'Ease of use', 'Security']","People that have a good knowledge balance between software engineering and trading, and willing to share tips, knowledge and solutions. ","Hahaha, I think we do have already some nice to have features on the server, and well the good thing is that we can too help too improving it for everyone, like the autobalance system I've made :p, and probably more to come. But yeah on BvA ""server side"", i think we do have ideas on the server.
And maybe too more theory about how the BVA strat works, as an inspiration for others (it can be pretty useful, even without making it completely open source and sharing under the hood machinery). ",New Feature,Better Trading Experience,"BvA has made trading and sharing way easier. When everyday thousands of ""automatic traders"" spaws on Github, each redoing the circle like others, introducing past problems, and killing any possibility of exchanging knowledge, BvA is seeking to make one ecosystem for everyone, simple, easy, and goes straight to the point. And that's great for everyone too, so yeah I would be really more than disappointed. ",Trading is my side hustle,Somewhat Disappointed,3/21/2021
7,6057b0e603f6dc37e4afbe7d,,"['Free and open source', 'Investment strategies', 'Security', 'Ease of use']",People already familiar with crypto,"Have more strategies
Show dates in the chart
Show more stats of the strategies like max drawdown, etc...
Show a description of the strategy
",New Feature,Develop Better Algorithms and Strategy Development,"Just starter with it, currently testing",I am just starting to explore coin trading,Not Disappointed,3/21/2021
8,6057b29e03f6dc37e4afbe7e,,"['Free and open source', 'Security', 'Investment strategies', 'Ease of use']","Anyone without much time. People who just want to watch trading, but not doing it actively.","Better history, maybe some graphs/spreadsheets. Not especially on the website, but locally in the script.",New Feature,Visualization,"I just started two weeks ago, I love using automatic stuff and this fits perfectly. But actually if it wasn’t available, I might just go back to hold some BTC and wait.",I am just starting to explore coin trading,Somewhat Disappointed,3/21/2021
9,6057b61603f6dc37e4afbe7f,,"['Investment strategies', 'Security', 'Ease of use', 'Free and open source']",none,none,others,others,none,Trading is my side hustle,Very Disappointed,3/21/2021
